ID_Venta,ID_Producto,ID_Cliente,Fecha_Venta,Cantidad,Precio_Unitario
2809,124,770,2023-12-10,3,487.8
3084,129,225,2023-03-11,4,0.0
3521,146,561,2022-02-20,3,71.82
7102,146,519,2022-02-16,1,59.33
4809,125,202,2022-06-28,4,0.0
1575,129,172,2023-03-11,5,255.79
2650,141,693,2023-10-30,2,627.08
7971,149,319,2023-08-27,4,198.24
2308,131,546,2023-02-21,4,474.89
1809,139,153,2022-06-26,3,296.5
8430,133,754,2023-10-22,3,258.0
1169,131,44,invalid_date,5,423.55
1959,155,101,2021-06-30,3,128.58
6041,122,630,2021-04-14,2,0.0
4358,158,103,2023-11-26,5,308.87
501,102,316,2023-07-16,1,1335.4
10300,115,391,2023-11-17,2,6571.4217189475985
7945,108,60,2021-06-30,2,1042.07
2429,114,626,2021-02-17,3,680.49
9278,109,332,2023-10-14,3,1251.53
1953,111,738,2021-02-17,4,857.88
5883,144,671,2023-08-01,4,420.93
4169,118,239,2021-02-27,1,694.46
4341,122,641,2022-07-31,4,739.84
10934,116,426,2021-02-19,4,841.52
1874,134,124,2021-10-06,0,327.37
905,143,18,2023-03-05,677,321.17
425,134,114,2023-05-26,4,294.83
4682,9120,592,2023-08-30,4,0.0
2348,133,681,12-29-2023,4,8226.271778732133
9705,123,151,2021-01-23,0,321.53
12174,102,231,2023-04-24,5,1315.76
10301,140,814,2023-09-30,4,339.63
3377,123,240,2021-02-16,5,353.37
8344,112,26,2022-10-18,5,802.21
9903,154,498,2023-12-08,5,75.73
11331,110,313,2023-08-26,2,699.07
8451,141,790,2023-08-08,4,755.88
8431,151,655,2023-08-27,4,154.52
5877,120,320,20220905,2,871.42
463,162,405,2022-08-31,3,285.19
1323,102,561,2023-08-03,1,1383.14
11624,141,156,2021-07-10,1,756.97
1818,116,461,2023-05-08,2,957.48
7681,102,460,2023-06-28,4,1284.04
7667,129,200,2022-03-15,3,256.95
10412,154,276,2023-03-26,5,69.09
1856,109,513,2021-08-07,3,1053.74
7519,139,595,2022-11-13,3,332.63
300,144,204,27/09/2021,2,468.94
6088,132,648,20230713,4,400.45
2182,154,144,2022-12-05,4,92.8
8197,155,703,2023-04-16,3,135.51
1842,150,466,2023-08-13,5,93.95
5565,158,288,2023-01-15,2,339.11
4029,135,754,2023-09-28,2,619.63
2634,139,125,invalid_date,1,296.64
7331,107,140,2023-02-21,3,603.8
7143,135,723,2022-11-20,0,735.22
3292,122,147,2021-12-24,2,863.71
8591,122,603,2023-05-18,0,780.58
1811,156,631,2021-03-25,1,631.34
9843,149,480,2021-05-07,1,144.5
7676,111,397,2021-06-11,1,819.04
1540,143,340,02/08/2021,1,315.06
12121,113,489,2023-06-07,2,837.67
424,119,257,2023-09-25,1,706.36
443,102,493,2023-03-10,3,1372.81
5530,127,473,2023-04-23,-1,374.13
9403,125,652,2023-10-02,1,346.62
2181,157,16,2022-07-15,1,344.29
11378,158,494,2021-06-07,1,266.88
11462,161,330,2022-05-10,3,496.18
652,111,386,2022-02-25,4,825.19
5360,130,448,2023-10-08,582,240.37
9405,158,78,2023-01-16,3,268.41
4926,146,625,2021-01-15,3,64.07
2094,104,601,2021-02-02,4,741.21
1064,141,313,2023-01-31,1,642.05
11220,108,615,2023-07-24,4,1007.3
2732,155,628,2022-06-10,2,-67.5178505467019
2195,138,15,2023-01-16,5,399.18
8048,136,136,2023-02-17,2,346.42
3012,141,199,2023-05-27,4,662.2
10769,102,605,2023-06-04,3,1273.19
2452,128,361,2023-10-12,4,623.14
3665,111,43,2023-06-25,1,845.82
1516,131,415,2023-12-25,4,473.55
11981,157,458,2022-03-03,4,392.34
7875,134,89,2023-10-10,5,323.31
11014,131,115,2023-02-08,2,-23.26378590761923
7856,156,525,2021-11-09,1,614.77
8897,116,254,2024-01-09,3,903.93
6267,124,672,2023-02-28,4,490.04
1456,120,787,2021-09-28,3,817.44
697,123,687,05-15-2023,2,370.9
6357,112,194,2021-11-30,3,713.36
2877,108,252,2021-02-07,4,1090.75
8228,124,145,2022-05-07,3,477.89
10270,129,291,2023-05-28,4,256.79
9717,108,801,2022-05-01,4,1059.12
6199,120,731,2023-12-09,2,824.44
11606,102,33,2021-02-08,1,1345.32
11334,144,489,2023-03-01,3,389.09
3379,107,813,2024-01-09,2,647.36
7255,163,510,2023-09-17,2,569.74
3932,147,409,2023-06-02,3,204.72
2922,122,173,2025-13-45,4,
4163,162,352,2023-11-08,4,318.58
9470,142,92,16/07/2023,5,735.02
304,146,329,2023-08-26,4,53.52
10057,113,741,2021-10-04,2,746.22
9480,128,334,2022-09-24,5,694.27
10131,119,213,2023-08-23,2,587.72
11781,149,542,2023-07-01,5,174.28
2753,107,45,2023-06-11,3,-22.720190404479602
4884,112,53,2021-04-28,3,755.36
2965,146,618,2021-06-23,407,75.83
7741,110,437,2023-11-24,4,802.45
2609,124,22,2023-11-03,3,487.57
597,113,498,2021-03-04,5,735.39
7383,107,801,2023-04-09,2,644.26
9248,146,416,2023-12-13,2,51.03
5929,110,110,2023-12-24,3,702.06
10839,162,568,2022-05-10,3,249.17
2911,118,120,2023-01-31,2,728.53
11238,116,351,2022-12-11,2,960.17
10762,102,533,2022-11-26,5,1351.15
8998,147,477,2023-02-13,1,185.71
5651,109,116,2021-04-23,3,1038.87
9375,114,542,2021-03-25,4,620.59
8980,118,708,invalid_date,1,754.74
3556,122,542,2021-08-11,5,784.52
6037,163,649,2023-12-06,5,495.01
6016,115,557,2022-06-04,4,263.27
200,152,323,2023-11-19,5,147.5
3759,143,446,2023-09-26,2,
9794,142,411,2023-03-29,4,654.24
301,130,40,2021-12-31,2,274.68
9154,163,179,2023-02-14,2,584.11
10495,125,706,2023-10-09,5,370.97
1418,125,170,2021-01-23,2,389.07
5034,122,806,2023-09-07,2,866.14
6236,149,188,2022-10-19,4,202.0
11371,141,30,2023-11-19,5,723.87
1611,120,813,2023-05-19,4,932.75
3910,148,245,2023-07-24,4,188.84
8694,136,805,2022-01-09,2,320.86
6441,156,390,2023-05-20,4,6259.406849592658
11632,123,605,2021-04-30,4,
7707,113,265,2023-07-21,2,842.68
7780,136,432,2022-01-09,2,377.9
10702,152,211,2023-08-30,3,115.6
8114,161,665,2021-12-06,1,461.46
11482,120,415,2023-07-03,-1,916.04
12162,116,188,2023-06-04,2,896.4
2061,141,754,2023-04-28,1,752.54
10145,151,580,2021-08-02,3,152.48
12029,115,254,2023-03-24,1,282.01
4698,146,458,2023-02-22,1,70.78
3707,137,617,2023-08-04,0,648.86
4488,161,794,2021-11-14,1,347.17
331,112,215,2023-08-28,5,706.03
860,124,141,2023-03-25,4,461.63
4882,124,435,2021-12-22,0,-21.445633481196378
5692,163,100,2023-03-04,3,502.41
9321,155,273,2022-12-08,4,98.15
4062,158,774,20240125,5,348.24
518,112,119,2023-02-28,3,844.01
3275,128,353,2023-06-30,4,614.2
5313,116,366,2021-10-07,4,932.81
771,125,645,2023-08-01,1,-21.319001211272976
669,133,416,2023-09-24,2,271.56
5920,161,718,2023-10-10,4,477.87
11257,117,392,2023-11-23,3,
7465,149,624,2022-11-25,465,207.2
2668,129,349,2023-09-26,3,220.0
6989,108,288,2022-04-28,2,1083.88
12042,139,68,2022-01-06,1,272.75
11894,114,150,2023-07-04,3,661.6
1847,108,812,2023-05-03,3,1095.12
3105,139,263,08/06/2022,3,316.92
1039,153,734,2023-10-21,1,37.67
5270,150,27,2023-07-25,1,98.89
5543,153,3,2023-09-27,1,45.84
6220,127,122,2023-08-31,2,366.28
4687,115,587,2022-01-02,2,-51.353534852202415
3162,101,305,2021-05-06,4,1173.9
6333,148,629,2023-12-24,5,217.51
4185,123,345,2023-07-17,4,360.31
1709,111,139,2023-05-06,5,746.61
6175,108,315,2023-08-19,2,1030.58
8145,133,522,2023-05-17,1,263.89
12136,153,301,2023-06-30,4,53.74
7876,133,319,2023-07-25,-1,281.91
10342,158,713,2023-11-29,5,302.0
11955,158,314,2023-07-22,394,375.1
7111,131,118,2023-05-13,3,434.67
7388,130,760,2023-09-20,4,271.68
9225,161,109,2023-04-10,4,424.65
593,139,502,2023-09-09,2,308.53
1446,162,668,2023-11-27,4,328.42
5675,155,274,2023-08-14,4,97.34
8809,107,407,06-09-2023,4,635.1
903,112,62,07-24-2022,5,
3032,163,785,2025-13-45,4,427.37
10708,147,245,2021-10-17,5,217.56
2105,112,648,2023-10-31,3,762.58
9253,159,674,2022-04-29,4,369.84
8750,109,227,2023-05-18,2,1063.03
6963,130,703,2023-06-03,3,280.02
3735,112,169,2021-04-26,1,806.08
6317,114,465,2021-04-26,4,733.85
4412,135,254,2023-11-12,5,656.72
5519,154,634,2021-09-15,1,85.49
4117,111,331,2023-06-02,3,859.37
8422,147,331,2023-05-22,1,166.12
2774,117,185,2022-12-13,4,617.45
1659,133,558,2023-03-09,4,278.62
9168,161,156,2023-12-11,2,375.99
328,120,283,2023-04-09,3,915.09
5356,155,399,2022-01-21,5,95.35
6356,129,42,invalid_date,1,234.24
6668,128,472,2022-03-24,2,606.58
3634,117,730,2022-09-01,4,552.15
3220,131,404,2022-04-20,5,422.52
4569,149,197,2022-03-02,1,162.97
8830,118,101,2023-12-14,2,694.02
5174,106,432,2023-12-11,4,874.84
5455,148,800,2022-06-18,4,206.7
2083,162,229,2022-09-22,2,284.78
9908,107,45,2021-04-06,5,588.9
1701,108,450,2022-12-01,3,1031.41
3011,101,505,2023-08-04,1,1153.1
8632,158,109,2024-01-12,4,315.93
3848,117,730,2021-01-15,5,546.61
5395,146,411,2021-06-29,1,75.95
4440,150,289,2021-05-20,2,76.28
9454,106,381,2023-07-28,2,926.91
9899,122,466,2021-06-17,3,0.0
1433,157,143,2021-10-10,5,322.56
9918,148,192,2023-01-13,2,277.71
9271,163,533,2022-05-05,0,566.29
9219,102,524,2022-05-05,3,0.0
9904,110,231,2021-05-16,4,757.36
7039,145,502,2022-07-06,2,105.53
10958,154,263,2023-02-02,5,84.71
1569,139,650,2023-04-29,4,9964.148761447595
11549,106,466,2022-05-26,2,856.37
9697,125,354,2021-02-19,2,368.47
10081,124,236,2022-10-04,0,433.47
8142,108,663,2021-07-03,3,1014.87
3770,136,815,2023-05-08,1,335.38
1509,154,624,2021-12-10,4,85.31
9385,120,416,2024-01-24,3,0.0
2954,163,715,2021-11-21,4,401.12
5495,141,685,2023-06-14,-1,673.6
393,133,604,2022-02-28,2,258.59
4218,106,650,2022-12-08,1,
11541,116,139,2023-03-13,2,911.61
10850,155,143,2023-07-10,1,91.75
7518,133,103,2023-03-08,1,239.74
1726,129,749,2023-02-02,4,239.83
8060,138,327,2023-01-29,2,448.8
1189,151,483,2023-04-06,3,160.9
10901,130,245,2025-13-45,-1,254.64
7440,113,489,2023-06-07,2,837.67
356,162,796,2023-04-30,3,336.05
6209,145,579,2023-05-11,4,132.97
1203,142,579,2023-05-29,3,-34.350361810011535
8373,127,618,2023-09-08,1,405.86
10453,157,316,2023-08-27,3,404.56
3420,116,309,2023-09-03,2,866.96
9308,109,109,2023-06-15,2,1172.55
9891,114,709,2023-07-14,3,718.96
6431,109,314,2023-07-12,1,1194.8
1640,133,726,2022-02-07,2,239.64
395,134,543,2023-04-13,5,12032.275471560146
11074,115,244,2022-06-12,3,270.86
3649,140,349,2022-02-17,2,354.35
1522,143,390,2023-08-24,4,361.68
81,161,705,2021-12-12,3,488.22
7490,116,615,2023-05-12,1,1003.41
7865,111,35,2023-04-26,-1,865.97
10621,150,239,2023-04-17,1,88.84
1589,144,811,2023-06-04,4,404.74
7037,156,720,2022-02-19,4,527.08
1705,147,201,2022-12-24,4,219.37
8215,107,559,2021-12-10,2,651.92
5540,141,286,2021-04-16,2,708.97
8866,149,632,2023-10-23,1,0.0
10448,155,427,2022-12-29,1,96.73
7045,123,257,2023-12-21,1,357.15
10809,140,116,2021-04-24,4,379.42
6353,113,321,2023-01-21,2,744.49
5674,152,801,2023-03-03,1,111.56
1460,128,40,2023-08-08,5,655.74
6655,125,581,2023-07-15,5,389.52
11383,118,358,2023-02-16,5,692.53
3905,139,606,2023-03-09,4,267.5
1888,118,639,2023-06-13,3,734.1
7357,130,169,2021-12-17,3,246.93
8316,163,605,2023-12-21,4,424.63
12120,123,344,2023-12-03,2,353.31
9476,155,245,2021-05-24,3,94.94
2627,128,388,2024-01-10,3,672.24
11159,118,98,2023-04-28,3,731.16
8547,116,435,2021-07-19,2,873.02
3857,123,362,2021-02-24,1,371.03
9307,140,130,2023-11-10,3,302.0
11426,9243,343,2023-03-23,1,128.23
6065,136,254,2022-01-05,1,0.0
6802,135,102,2023-01-02,5,623.72
7195,112,369,2021-11-28,1,760.0
11437,145,209,2023-07-02,4,151.04
3473,156,100,2023-10-17,3,615.02
898,142,154,2023-03-10,5,674.86
4583,149,357,2021-12-12,4,199.8
11282,157,727,2021-07-19,1,358.35
6256,129,725,2023-09-03,4,237.52
7025,145,812,2023-09-13,4,141.98
8501,115,610,2023-12-31,5,258.09
6370,112,438,2022-08-07,5,714.17
164,143,17,2023-11-29,5,367.64
2273,149,236,2023-11-17,2,185.53
1112,115,496,2023-09-25,2,256.22
4381,146,510,2023-07-20,2,71.7
766,138,603,2023-12-09,1,447.09
10018,159,712,2022-02-27,1,448.54
5581,148,155,2022-05-25,3,219.14
2810,120,64,2023-07-06,2,873.31
1440,143,66,2022-01-03,3,319.28
6070,137,783,2023-06-18,5,
11741,104,627,2021-06-13,5,732.78
4872,118,63,2021-02-09,3,753.13
8386,157,768,2022-05-26,1,409.02
10334,109,236,2021-10-26,4,1087.24
10055,154,605,2023-01-31,1,83.5
10361,118,277,2021-01-26,3,-86.71800693077878
9917,107,145,2022-01-26,1,659.06
6050,156,234,2021-09-26,3,484.8
8849,152,785,2023-09-09,-1,129.76
10120,139,563,2022-04-28,3,265.91
11996,120,276,2023-08-18,5,795.8
5254,128,774,2021-07-31,5,621.49
12112,157,114,2022-06-24,4,427.14
2282,143,591,2023-01-14,3,338.67
9349,115,66,2023-05-05,4,287.51
11876,163,379,2023-04-29,4,542.72
3746,133,268,2023-05-30,3,249.37
6400,147,431,2023-05-14,4,189.58
6428,138,397,2023-01-13,5,0.0
2060,159,583,2023-09-10,4,453.98
7801,149,764,2023-08-15,2,138.29
9912,139,262,2022-05-15,387,279.07
448,152,391,2024-01-10,1,128.57
1539,110,104,2023-02-20,5,684.35
7190,153,276,2023-06-13,5,47.24
5946,9953,405,2023-10-15,4,560.57
4017,134,390,2023-12-08,3,309.01
47,146,543,2021-09-16,5,67.54
5003,138,675,2023-12-20,4,499.85
5030,143,174,2025-13-45,5,370.12
7847,105,59,2021-01-04,5,1206.04
2611,116,127,2023-01-21,-1,-90.74103921689115
6700,117,15,2023-09-08,5,577.69
11017,119,227,2023-10-14,2,651.72
3230,140,21,2024-01-15,1,334.47
6232,150,567,2023-05-17,1,-16.85425300582294
9589,113,686,2021-03-02,329,888.87
7931,143,317,2021-06-24,2,293.4
12066,142,540,20210527,4,679.3
6329,145,572,2021-08-22,3,127.57
6481,106,364,2023-12-16,158,843.77
5103,152,590,2023-11-10,0,2635.448613472141
7877,163,647,2021-08-09,4,395.34
9588,132,73,2022-11-21,5,349.39
11708,146,421,2022-08-01,1,74.46
7057,138,614,2023-11-27,3,402.6
11577,145,18,2022-05-02,5,117.93
5485,136,450,2023-03-01,2,368.19
4952,155,47,2023-03-08,3,95.09
11984,115,438,2023-05-21,5,274.15
3542,132,428,2023-01-06,1,379.37
2816,135,546,2022-12-04,2,639.74
11480,123,339,20210310,1,
8714,155,696,2022-07-13,5,0.0
11160,134,85,2022-01-23,5,
6808,133,687,2021-05-15,-1,274.7
2004,123,552,2021-12-31,2,327.91
7994,117,402,2023-01-30,4,621.72
5097,150,74,2023-09-07,1,86.94
2489,129,140,2023-12-30,3,222.87
7591,132,84,2023-11-21,3,404.64
6573,102,33,2023-12-07,1,1289.11
7284,156,587,2021-10-23,3,598.78
6944,144,798,2024-01-22,3,429.72
7739,158,135,2023-05-11,4,272.54
4605,119,334,2025-13-45,0,586.75
10738,134,1973,2023-05-04,1,343.43
10059,138,135,2022-03-02,3,462.68
5332,125,645,2023-04-13,4,374.3
600,146,25,2023-05-17,4,58.07
8314,145,330,2023-11-20,4,136.49
4363,151,369,2023-02-10,2,172.67
6563,145,658,2023-07-06,1,134.57
4361,162,1238,2022-09-14,326,299.33
5718,112,181,2023-01-08,5,806.66
7270,101,479,2023-03-04,5,1165.15
8868,106,125,2023-09-22,2,820.01
3782,163,555,2023-06-20,1,427.62
663,117,484,2022-07-26,2,600.67
1855,134,603,2022-06-01,5,342.16
11320,157,264,2023-12-18,5,451.33
6924,105,2,2021-08-06,4,1313.83
6125,154,763,2021-01-26,2,77.24
6207,156,797,2023-07-27,1,447.36
4950,119,255,2023-11-23,1,674.14
6584,130,25,2022-10-31,1,-96.14406820341961
10513,145,242,2023-08-18,2,132.35
2779,124,614,2021-01-11,3,463.2
2064,113,427,2023-07-05,5,824.94
3115,109,458,2023-01-01,4,1250.65
1798,131,222,2023-10-10,2,474.76
7655,140,82,2021-08-12,5,361.31
3251,102,117,2023-05-28,4,1333.65
6578,148,254,2022-02-20,2,183.9
9411,112,49,2021-04-14,4,830.08
8031,105,280,2023-09-28,5,1332.1
962,152,7,2023-01-31,5,145.31
1276,111,518,2023-07-19,3,0.0
1910,116,201,2021-11-05,1,901.97
3456,128,465,2023-01-03,5,
5221,140,387,2023-06-26,4,340.56
7836,107,241,2023-08-12,3,576.11
6798,129,807,2023-01-18,5,216.93
4841,136,14,2023-07-15,3,355.08
5823,154,261,2023-12-29,2,0.0
2467,110,518,2023-05-27,3,746.02
10008,150,193,2023-09-12,2,76.35
9565,118,550,2022-06-21,2,699.46
8988,105,621,2023-07-09,1,1277.45
3831,129,408,2023-08-11,3,
824,158,1224,2023-01-06,1,413.7
7401,109,676,2023-11-08,2,1117.24
9099,112,389,2023-12-30,2,730.73
6121,112,95,2023-10-30,5,714.49
7110,122,331,2023-02-18,4,779.59
5499,132,136,2021-05-28,4,367.35
6390,134,803,2021-02-15,2,324.61
8910,9480,803,2023-08-25,4,92.99
10423,129,480,2021-02-12,4,236.11
6269,143,716,2023-09-15,5,334.86
7540,140,529,2023-01-22,4,379.55
9452,136,336,2023-03-05,3,-93.49679611060604
5109,148,573,2023-07-29,2,193.69
5372,156,291,2023-04-22,1,481.86
10748,119,225,2022-04-07,4,703.73
9935,116,711,2021-04-16,3,909.78
11745,116,372,2023-02-11,1,926.49
8046,161,721,2023-09-19,1,438.75
916,106,788,2021-02-21,3,24643.83417491867
5387,131,231,2021-07-28,2,459.43
10569,108,37,2023-12-29,1,1141.08
7044,107,447,2021-07-19,3,627.82
10530,157,415,2023-10-21,1,380.56
4149,162,241,2021-03-15,1,247.57
1141,122,39,2022-01-21,5,760.16
9691,9163,663,2023-09-19,1,418.98
7602,113,725,2023-10-01,3,886.58
2270,139,444,2023-04-26,4,307.22
3590,157,68,2021-06-29,1,358.75
6822,152,326,2023-09-28,4,96.94
5739,111,200,2023-05-19,1,753.63
6585,146,759,2023-05-01,3,72.44
11115,105,812,invalid_date,1,49256.42438123776
3957,145,768,2023-10-26,5,136.32
65,110,465,2023-12-30,3,753.68
2933,140,500,2023-09-13,2,340.65
2259,132,273,2023-08-07,3,345.1
11598,118,584,2021-08-09,5,695.85
4365,132,627,2023-04-14,4,397.71
8580,108,670,2023-06-17,2,1153.71
8930,129,759,2023-05-26,1,0.0
5751,147,198,2022-08-06,2,209.07
6958,159,814,2021-08-30,-1,369.08
11531,105,825,2023-07-21,2,-14.663018648152065
10745,119,232,2022-01-10,5,668.3
8818,153,774,2021-03-21,4,34.75
1170,145,229,2023-02-24,5,132.01
9682,139,442,2021-12-25,4,284.22
1105,146,418,2021-12-24,2,51.91
12196,123,676,2024-01-26,3,356.4
11713,141,125,2023-05-06,4,667.35
6863,155,659,2023-04-30,2,91.07
7430,140,387,2021-09-22,4,311.8
8356,104,19,2021-08-11,5,662.98
364,145,80,2023-03-27,3,114.23
4239,149,530,2022-03-28,1,193.12
251,130,349,2021-03-08,2,252.5
7921,146,719,2022-01-12,4,67.23
7844,110,798,2021-02-23,2,783.4
5440,105,766,2023-04-16,1,1224.63
2963,163,500,2022-11-02,2,423.66
6332,151,337,2022-04-16,2,155.71
4767,153,349,2021-11-10,2,41.51
10691,101,251,2022-07-31,5,1196.15
2797,119,521,2021-02-20,2,700.25
5649,131,582,2021-11-03,4,
6448,122,406,2023-06-08,1,773.4
4238,138,761,2021-04-05,4,399.64
1658,146,486,2022-09-14,5,75.17
4301,140,807,2023-02-16,4,340.16
7112,137,298,2021-02-06,5,4653.329388262018
4085,136,731,2023-01-14,0,353.37
10942,135,283,2023-10-19,5,637.5
5660,123,688,2023-07-21,5,364.23
9516,155,688,2023-12-04,3,113.35
6257,156,497,2023-04-10,4,449.15
8990,119,576,2023-09-30,5,599.76
2996,158,130,2023-06-25,4,367.47
6857,127,86,2023-01-31,3,407.04
4865,128,565,2021-02-22,3,645.9
3793,113,358,2022-03-27,1,803.7
8746,151,510,2023-07-14,4,132.09
3063,159,188,2021-05-04,4,7017.10808009745
7659,110,589,2023-02-18,2,800.1
10074,106,65,2023-08-24,0,893.54
3278,161,675,2023-05-21,2,441.97
7605,163,343,2023-06-12,4,561.16
7363,130,221,2023-02-11,4,255.24
2305,119,641,2022-10-10,3,630.9
4043,113,201,2023-10-10,2,739.65
3446,157,60,2023-04-13,2,468.68
6195,150,302,2023-01-26,2,96.07
3690,162,395,2023-08-03,5,241.1
2497,162,513,2023-03-07,0,255.9
5113,162,262,2022-08-05,5,253.71
2771,107,283,2022-01-30,2,637.54
8966,131,516,2023-10-01,5,398.4
6322,155,504,2021-02-11,2,128.19
10479,101,190,2023-03-13,2,1092.47
4118,111,815,2021-10-04,1,719.42
6182,149,637,2024-01-06,5,205.66
5655,161,711,2021-12-20,5,508.2
8023,108,649,2022-07-31,2,1008.42
4160,123,486,2022-11-30,3,363.28
1529,106,209,2022-03-24,1,842.63
3322,132,435,2022-09-18,4,349.55
11352,159,298,2021-09-14,4,0.0
6631,120,193,2023-10-06,2,874.43
2719,136,329,2023-09-06,5,339.53
9038,152,87,2023-04-15,1,134.52
10672,130,126,2022-09-25,1,267.7
10564,125,578,2022-02-20,5,396.73
967,109,131,2022-09-27,3,1179.32
6389,159,508,2023-09-22,4,295.8
812,144,424,2022-12-07,4,384.26
7082,127,82,2023-02-02,3,362.91
3297,129,796,2021-07-10,1,243.08
11985,155,106,2023-08-22,1,139.64
3238,119,169,2023-06-25,5,682.92
10616,146,524,2023-01-29,3,1765.209980835469
5937,117,632,2022-08-06,1,605.17
7993,131,19,2022-02-07,4,411.27
2296,142,501,2022-08-27,4,667.11
7329,156,808,2021-09-11,5,521.34
10449,109,591,2021-07-05,4,1144.55
11890,136,273,2024-01-11,4,10996.497952645337
6694,124,516,2023-08-20,5,466.45
9345,114,702,2023-02-18,-1,0.0
4030,130,445,2023-03-26,3,283.99
4129,138,169,2022-08-24,807,12921.809303211547
3097,104,220,2022-07-24,1,709.15
9807,139,120,10-06-2023,1,338.01
9759,139,382,2023-12-21,5,308.48
5769,148,455,2021-08-22,1,0.0
1186,162,426,2023-09-05,5,313.46
2546,127,669,2023-07-27,4,6122.474935442248
1167,141,155,2021-11-19,3,8907.203001328771
439,115,204,2023-03-29,2,294.41
4464,105,72,2023-09-13,5,1217.49
6462,159,279,2023-03-21,4,361.8
8218,138,770,2021-02-11,5,-54.603048148721506
9719,143,476,2023-01-23,3,318.33
6518,128,391,2022-12-31,2,635.16
5640,116,331,2022-01-28,3,853.07
667,122,389,2023-02-23,1,786.37
5198,130,679,2022-08-10,2,271.47
2534,157,265,2023-12-28,2,307.25
3825,130,210,2023-10-18,5,251.92
649,101,110,2022-07-27,5,1102.68
10476,163,417,2022-09-25,3,520.24
5024,161,56,2022-06-01,2,359.17
5299,109,346,2022-07-16,4,1059.96
2706,108,557,2023-05-01,0,18165.94587176725
